job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,avg_salary
trưởng nhóm digital marketing,nhân viên chính thức,quản lý,hồ chí minh,2 - 25 năm,"online, digital marketer, trưởng nhóm digital marketing, digital ô tô, nhân viên digital marketing, social media, chuyên viên digital marketing, chuyên viên digital","marketing, truyền thông, cơ khí, đối ngoại, quảng cáo, tự động hóa, ô tô, tiếp thị",14 tr - 25 tr vnd,14.0,25.0,vnd,19.5
retail associate nhân viên bán hàng,nhân viên chính thức,nhân viên,hồ chí minh,1 - 3 năm,"store manager, operation manager, sales staff, retail manager, retail operation manager, nhân viên bán hàng","nhà hàng, bán sỉ, bán lẻ, kinh doanh, bán hàng, khách sạn",10 tr - 15 tr vnd,10.0,15.0,vnd,12.5
vietjet air nhân viên chăm sóc khách hàng quốc tế,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"tiếng anh, vietjet air nhân viên chăm sóc khách hàng quốc tế, tân bình, chăm sóc khách hàng",dịch vụ khách hàng,8 tr - 9 tr vnd,8.0,9.0,vnd,8.5
phó giám đốc chi nhánh phụ trách mảng khdn chi nhánh đăk nông gia lai,nhân viên chính thức,phó giám đốc,gia lai,3 - 5 năm,Unknown,ngân hàng,45 tr - 65 tr vnd,45.0,65.0,vnd,55.0
kiến trúc sư triển khai,nhân viên chính thức,nhân viên,hà nội,trên 5 năm,"kiến trúc sư triển khai, cadddesigner, civil engineer, draftsman, họa viên kiến trúc, architect, architectural drafter, nhân viên thiết kế kiến trúc, architectural, site engineer, structural drafter","kiến trúc, nội ngoại thất, xây dựng",15 tr - 21 tr vnd,15.0,21.0,vnd,18.0
chuyên viên tuyển sinh ocean edu quốc oai thu nhập hấp dẫn từ 13 triệu tháng phỏng vấn đi làm ngay,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"chuyên viên tuyển sinh ocean edu quốc oai thu nhập hấp dẫn từ triệu, tháng phỏng vấn đi làm ngay","kinh doanh, bán hàng, tư vấn, dịch vụ khách hàng",13 tr - 15 tr vnd,13.0,15.0,vnd,14.0
tổng đài chăm sóc khách hàng vietjet air phỏng vấn online trước tết nhận việc sau tết,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu, tổng đài chăm sóc khách hàng vietjet air phỏng vấn online trước tếtnhận việc sau tết,"hàng không, dịch vụ khách hàng","7 tr - 7,5 tr vnd",7.0,7.5,vnd,7.25
chuyên viên digital marketing,nhân viên chính thức,nhân viên,hà nội,1 - 3 năm,Unknown,"tiếp thị, marketing",12 tr - 18 tr vnd,12.0,18.0,vnd,15.0
nhân viên kinh doanh thị trường khu vực đăk lăk kon tum gia lai,nhân viên chính thức,nhân viên,kon tum,trên 1 năm,Unknown,"dược phẩm, hóa mỹ phẩm, chăm sóc cá nhân, kinh doanh, bán hàng, hàng gia dụng",12 tr - 20 tr vnd,12.0,20.0,vnd,16.0
kiến trúc sư triển khai 3d,nhân viên chính thức,nhân viên,hà nội,trên 1 năm,"kiến trúc sư nội thất, kiến trúc sư 2d, kiến trúc sư","nghệ thuật, thiết kế, kiến trúc, nội ngoại thất, mỹ thuật",lên đến 30 tr vnd,0.0,30.0,vnd,15.0
